algorithm,instance,time
median 3,54,0.01000000
median 3 random,54,0.01000000
median 9,54,0.01000000
median 9 random,54,0.02000000
dual pivot,54,0.01000000
insertion,55,1.00000000
first,55,0.02000000
random,55,0.01000000
mid,55,0.01000000
median 3,55,0.01000000
median 3 random,55,0.02000000
median 9,55,0.01000000
median 9 random,55,0.01000000
dual pivot,55,0.01000000
insertion,56,1.00000000
first,56,0.01000000
random,56,0.01000000
mid,56,0.02000000
median 3,56,0.01000000
median 3 random,56,0.01000000
median 9,56,0.01000000
median 9 random,56,0.02000000
dual pivot,56,0.01000000
insertion,57,1.02000000
first,57,0.01000000
random,57,0.02000000
mid,57,0.01000000
median 3,57,0.01000000
median 3 random,57,0.01000000
median 9,57,0.01000000
median 9 random,57,0.02000000
dual pivot,57,0.01000000
insertion,58,0.99000000
first,58,0.02000000
random,58,0.01000000
mid,58,0.01000000
median 3,58,0.01000000
median 3 random,58,0.02000000
median 9,58,0.01000000
median 9 random,58,0.01000000
dual pivot,58,0.01000000
insertion,59,1.04000000
first,59,0.01000000
random,59,0.01000000
mid,59,0.01000000
median 3,59,0.01000000
median 3 random,59,0.02000000
median 9,59,0.01000000
median 9 random,59,0.02000000
dual pivot,59,0.01000000
insertion,60,1.01000000
first,60,0.01000000
random,60,0.01000000
mid,60,0.01000000
median 3,60,0.02000000
median 3 random,60,0.01000000
median 9,60,0.01000000
median 9 random,60,0.02000000
dual pivot,60,0.01000000
insertion,61,0.99000000
first,61,0.01000000
random,61,0.01000000
mid,61,0.01000000
median 3,61,0.02000000
median 3 random,61,0.01000000
median 9,61,0.01000000
median 9 random,61,0.02000000
dual pivot,61,0.01000000
insertion,62,1.01000000
first,62,0.01000000
random,62,0.02000000
mid,62,0.01000000
median 3,62,0.01000000
median 3 random,62,0.01000000
median 9,62,0.02000000
median 9 random,62,0.01000000
dual pivot,62,0.01000000
insertion,63,0.99000000
first,63,0.02000000
random,63,0.01000000
mid,63,0.01000000
median 3,63,0.01000000
median 3 random,63,0.02000000
median 9,63,0.01000000
median 9 random,63,0.01000000
dual pivot,63,0.01000000
insertion,64,0.99000000
first,64,0.01000000
random,64,0.01000000
mid,64,0.01000000
median 3,64,0.01000000
median 3 random,64,0.02000000
median 9,64,0.01000000
median 9 random,64,0.01000000
dual pivot,64,0.01000000
insertion,65,0.98000000
first,65,0.01000000
random,65,0.01000000
mid,65,0.01000000
median 3,65,0.01000000
median 3 random,65,0.02000000
median 9,65,0.01000000
median 9 random,65,0.01000000
dual pivot,65,0.01000000
insertion,66,1.00000000
first,66,0.02000000
random,66,0.01000000
mid,66,0.01000000
median 3,66,0.01000000
median 3 random,66,0.02000000
median 9,66,0.01000000
median 9 random,66,0.01000000
dual pivot,66,0.01000000
insertion,67,1.00000000
first,67,0.01000000
random,67,0.02000000
mid,67,0.01000000
median 3,67,0.01000000
median 3 random,67,0.01000000
median 9,67,0.02000000
median 9 random,67,0.01000000
dual pivot,67,0.01000000
insertion,68,0.99000000
first,68,0.01000000
random,68,0.01000000
mid,68,0.02000000
median 3,68,0.01000000
median 3 random,68,0.01000000
median 9,68,0.01000000
median 9 random,68,0.02000000
dual pivot,68,0.01000000
insertion,69,1.03000000
first,69,0.01000000
random,69,0.02000000
mid,69,0.01000000
median 3,69,0.01000000
median 3 random,69,0.01000000
median 9,69,0.02000000
median 9 random,69,0.01000000
dual pivot,69,0.01000000
insertion,70,0.99000000
first,70,0.02000000
random,70,0.01000000
mid,70,0.01000000
median 3,70,0.01000000
median 3 random,70,0.02000000
median 9,70,0.01000000
median 9 random,70,0.01000000
dual pivot,70,0.01000000
insertion,71,1.02000000
first,71,0.01000000
random,71,0.01000000
mid,71,0.02000000
median 3,71,0.01000000
median 3 random,71,0.01000000
median 9,71,0.01000000
median 9 random,71,0.02000000
dual pivot,71,0.01000000
insertion,72,1.05000000
first,72,0.01000000
random,72,0.01000000
mid,72,0.01000000
median 3,72,0.01000000
median 3 random,72,0.02000000
median 9,72,0.01000000
median 9 random,72,0.01000000
dual pivot,72,0.01000000
insertion,73,0.99000000
first,73,0.01000000
random,73,0.02000000
mid,73,0.01000000
median 3,73,0.01000000
median 3 random,73,0.01000000
median 9,73,0.02000000
median 9 random,73,0.01000000
dual pivot,73,0.01000000
insertion,74,1.04000000
first,74,0.01000000
random,74,0.01000000
mid,74,0.01000000
median 3,74,0.02000000
median 3 random,74,0.01000000
median 9,74,0.01000000
median 9 random,74,0.02000000
dual pivot,74,0.01000000
insertion,75,1.03000000
first,75,0.01000000
random,75,0.02000000
mid,75,0.01000000
median 3,75,0.01000000
median 3 random,75,0.01000000
median 9,75,0.01000000
median 9 random,75,0.02000000
dual pivot,75,0.01000000
insertion,76,1.04000000
first,76,0.01000000
random,76,0.01000000
mid,76,0.01000000
median 3,76,0.01000000
median 3 random,76,0.02000000
median 9,76,0.01000000
median 9 random,76,0.01000000
dual pivot,76,0.01000000
insertion,77,1.00000000
first,77,0.01000000
random,77,0.01000000
mid,77,0.02000000
median 3,77,0.01000000
median 3 random,77,0.01000000
median 9,77,0.01000000
median 9 random,77,0.02000000
dual pivot,77,0.01000000
insertion,78,1.02000000
first,78,0.01000000
random,78,0.02000000
mid,78,0.01000000
median 3,78,0.01000000
median 3 random,78,0.01000000
median 9,78,0.02000000
median 9 random,78,0.01000000
dual pivot,78,0.01000000
insertion,79,1.04000000
first,79,0.01000000
random,79,0.02000000
mid,79,0.01000000
median 3,79,0.01000000
median 3 random,79,0.01000000
median 9,79,0.02000000
median 9 random,79,0.01000000
dual pivot,79,0.01000000
insertion,80,1.00000000
first,80,0.01000000
random,80,0.02000000
mid,80,0.01000000
median 3,80,0.01000000
median 3 random,80,0.01000000
median 9,80,0.02000000
median 9 random,80,0.01000000
dual pivot,80,0.01000000
insertion,81,0.98000000
first,81,0.02000000
random,81,0.01000000
mid,81,0.01000000
median 3,81,0.01000000
median 3 random,81,0.02000000
median 9,81,0.01000000
median 9 random,81,0.01000000
dual pivot,81,0.01000000
insertion,82,1.03000000
first,82,0.01000000
random,82,0.02000000
mid,82,0.01000000
median 3,82,0.01000000
median 3 random,82,0.01000000
median 9,82,0.02000000
median 9 random,82,0.01000000
dual pivot,82,0.01000000
insertion,83,1.04000000
first,83,0.01000000
random,83,0.01000000
mid,83,0.01000000
median 3,83,0.01000000
median 3 random,83,0.02000000
median 9,83,0.01000000
median 9 random,83,0.01000000
dual pivot,83,0.01000000
insertion,84,0.99000000
first,84,0.01000000
random,84,0.02000000
mid,84,0.01000000
median 3,84,0.01000000
median 3 random,84,0.01000000
median 9,84,0.02000000
median 9 random,84,0.01000000
dual pivot,84,0.01000000
insertion,85,1.01000000
first,85,0.01000000
random,85,0.01000000
mid,85,0.02000000
median 3,85,0.01000000
median 3 random,85,0.01000000
median 9,85,0.01000000
median 9 random,85,0.02000000
dual pivot,85,0.01000000
insertion,86,1.04000000
first,86,0.01000000
random,86,0.01000000
mid,86,0.01000000
median 3,86,0.02000000
median 3 random,86,0.01000000
median 9,86,0.01000000
median 9 random,86,0.02000000
dual pivot,86,0.01000000
insertion,87,1.00000000
first,87,0.01000000
random,87,0.02000000
mid,87,0.01000000
median 3,87,0.01000000
median 3 random,87,0.01000000
median 9,87,0.01000000
median 9 random,87,0.02000000
dual pivot,87,0.01000000
insertion,88,1.00000000
first,88,0.01000000
random,88,0.01000000
mid,88,0.01000000
median 3,88,0.02000000
median 3 random,88,0.01000000
median 9,88,0.01000000
median 9 random,88,0.02000000
dual pivot,88,0.01000000
insertion,89,1.02000000
first,89,0.01000000
random,89,0.01000000
mid,89,0.01000000
median 3,89,0.01000000
